_BRAND_CODE	_BRAND_DESCRIPTION_EN	_BRAND_DESCRIPTION_HK	_PRODUCT_TEMPLATE_CODE	_PRODUCT_TEMPLATE_DESC_EN	_PRODUCT_TEMPLATE_DESC_HK	_PRIMARY_CATEGORY_CODE	_PRIMARY_CATEGORY_DESC_EN	_PRIMARY_CATEGORY_DESC_HK	_PRODUCT_IMAGE_EN	_PRODUCT_IMAGE_HK	_PRODUCT_CREATED_DATE	_PRODUCT_DESCRIPTION_EN	_PRODUCT_DESCRIPTION_HK	_PRODUCT_LONG_DESCRIPTION_EN	_PRODUCT_LONG_DESCRIPTION_HK	_TAG_CODE_A	_TAG_CODE_B	_TAG_CODE_C	_TAG_CODE_D	_TAG_CODE_E	_PRODUCT_MARKDOWN_PRICE_HKD	_PRODUCT_MARKDOWN_PRICE_USD	_PRODUCT_RETAIL_PRICE_HKD	_PRODUCT_RETAIL_PRICE_USD	_PRODUCT_STATUS_CODE	_PRODUCT_UPC_CODE
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	FFSLI	Slippers	拖鞋	30833055_1.jpg	30833055_1.jpg	07/18/20 12:00 AM	White 4cm Platform Slipons	韓國厚底4cm白色女拖鞋 (EU38)	4cm platform, Soft sole 	厚底4cm	Tag09	Tag05				60	7.7	60	7.7	ACT01	30833055
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBBAC	Backpacks	背囊	30833056_1.jpg	30833056_1.jpg	07/18/20 12:00 AM	Unisex Korean Black Sport BackPack	中性韓版黑色運動背包	40 x 14 x 31 cm Can fit A4 size, laptops, water bottles. Multi-purpose bag,  great for Man and Woman 	40 x 14 x 31 cm. 可以容納A4尺寸書，手提電腦，水壺。非常適合男女的多功能袋	Tag08	Tag10	Tag05			100	12.8	100	12.8	ACT01	30833056
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833057_1.jpg	30833057_1.jpg	07/18/20 12:00 AM	Unisex Purple Sporty Student Postman Crossbody Bag	中性紫色運動學生郵差斜孭包	16 x 10 x 25 cm, straps max length :130cm 	16 x 10 x 25 cm, 帶最大長度: 130 cm	Tag08	Tag10				60	7.7	60	7.7	ACT01	30833057
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833058_1.jpg	30833058_1.jpg	07/18/20 12:00 AM	Unisex Black Sporty Student Postman Crossbody Bag	中性黑色運動學生郵差斜孭包	16 x 10 x 25 cm, straps max length :130cm 	16 x 10 x 25 cm, 帶最大長度: 130 cm	Tag08	Tag10				60	7.7	60	7.7	ACT01	30833058
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833059_1.jpg	30833059_1.jpg	07/18/20 12:00 AM	Black with White Text Bump Bag (Mens) 	黑底白字男多功能胸包	40 x 20 x 19 cm, Material: Nylon	40 x 20 x 19 cm, 尼龍	Tag10	Tag08	Tag11			80	10.3	80	10.3	ACT01	30833059
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833060_1.jpg	30833060_1.jpg	07/18/20 12:00 AM	Black with Gold Text Bump Bag (Mens) 	黑底金字男多功能胸包	40 x 20 x 19 cm, Material: Nylon 	40 x 20 x 19 cm, 尼龍	Tag10	Tag08	Tag11			80	10.3	80	10.3	ACT01	30833060
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBBAC	Backpacks	背囊	30833061_1.jpg	30833061_1.jpg	07/18/20 12:00 AM	Multi purpose Black checkered patten BackPack	多用途黑色格紋背囊	36 x 14 x 26 cm, Material: Oxford	36 x 14 x 26 cm, 牛津布	Tag12	Tag12				100	12.8	100	12.8	ACT01	30833061
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833062_1.jpg	30833062_1.jpg	07/18/20 12:00 AM	Japanese Sukura Pretty Mama Blue background Crossbody Bag	日式花紋靚靚媽咪斜孭袋(藍色)	23 x 15 x 13 cm, Material:  Nylon 	23 x 15 x 13 cm,  尼龍	Tag12					50	6.4	50	6.4	ACT01	30833062
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833063_1.jpg	30833063_1.jpg	07/18/20 12:00 AM	Japanese Sukura Pretty Mama Purple background Crossbody Bag	日式花紋靚靚媽咪斜孭袋(紫色)	23 x 15 x 13 cm, Material:  Nylon 	23 x 15 x 13 cm,  尼龍	Tag12					50	6.4	50	6.4	ACT01	30833063
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833064_1.jpg	30833064_1.jpg	07/18/20 12:00 AM	Oxford Bag Pretty Mama Crossbody Bag (Black) 	牛津布靚靚媽咪防水尼龍帆布多用途斜孭袋(黑色)	20 x 29 x 10 cm, Material: Oxford	20 x 29 x 10 cm, 牛津布	Tag12					50	6.4	50	6.4	ACT01	30833064
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833065_1.jpg	30833065_1.jpg	07/18/20 12:00 AM	Oxford Bag Pretty Mama Crossbody Bag (Navy Blue)	牛津布靚靚媽咪防水尼龍帆布多用途斜孭袋(寶藍色)	20 x 29 x 10 cm, Material: Oxford	20 x 29 x 10 cm, 牛津布	Tag12					50	6.4	50	6.4	ACT01	30833065
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBWAL	Wallet 	銀包	30833066_1.jpg	30833066_1.jpg	07/18/20 12:00 AM	Pink Hearts Pretty Wallet 	粉紅心心長銀包	18 x 6 x 12 cm 	18 x 6 x 12 cm 	Tag12					30	3.8	30	3.8	ACT01	30833066
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FCPOC	Pockets 	文件袋	30833067_1.jpg	30833067_1.jpg	07/18/20 12:00 AM	A4 Sized zipped with handle File Pocket (Farting bear) 	A4放屁大能拉鍊文件袋	A4		Tag13					12	1.5	12	1.5	ACT01	30833067
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FCPOC	Pockets 	文件袋	30833068_1.jpg	30833068_1.jpg	07/18/20 12:00 AM	A4 Sized zipped with handle File Pocket (Blue pigs) 	A4飛天豬仔拉鍊文件袋	A4		Tag13					12	1.5	12	1.5	ACT01	30833068
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FCPOC	Pockets 	文件袋	30833069_1.jpg	30833069_1.jpg	07/18/20 12:00 AM	A4 Sized zipped with handle File Pocket (Pink pig) 	A4粉紅為食豬拉鍊文件袋	A4		Tag13					12	1.5	12	1.5	ACT01	30833069
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FCPOC	Pockets 	文件袋	30833070_1.jpg	30833070_1.jpg	07/18/20 12:00 AM	A6 sized zipped pink bunny Pen Bag 	A6粉紅小兔筆袋	A6 , Material: PU 	A6 , Material: PU 	Tag13					10	1.3	10	1.3	ACT01	30833070
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FCPOC	Pockets 	文件袋	30833071_1.jpg	30833071_1.jpg	07/18/20 12:00 AM	A6 sized zipped yellow duckling Pen Bag 	A6黃色小鴨筆袋	A6 , Material: PU 	A6 , Material: PU 	Tag13					10	1.3	10	1.3	ACT01	30833071
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833072_1.jpg	30833072_1.jpg	07/18/20 12:00 AM	Chic Sporty Hobo underarm Bag (Black) 	少女運動腋下小手袋 (黑色)	18 x 22 x 7 cm, 裝到好多嘢嘅潮物! 	18 x 22 x 7 cm, looks small but it can fit a lot! 	Tag14	Tag08				50	6.4	50	6.4	ACT01	30833072
LINSY	LINSY	Linsy連斯	ACC01	ProductBasic	飾物	HFCAR	Carpets	地毯	30833073_1.jpg	30833073_1.jpg	07/18/20 12:00 AM	Circle Carpet (Black) 	圓圈地毯 (黑色)	Diameter: 60cm High quality manmade velvet Suitable for bedroom,kitchen,toilet,front door!	直徑: 60cm 優質水晶絨 房間,化妝間,廁所,廚房門口,度度都擺得! 	Tag05	Tag15				100	12.8	100	12.8	ACT01	30833073
LINSY	LINSY	Linsy連斯	ACC01	ProductBasic	飾物	HFCAR	Carpets	地毯	30833074_1.jpg	30833074_1.jpg	07/18/20 12:00 AM	Circle Carpet (Pink) 	圓圈地毯 (粉紅色)	Diameter: 60cm High quality manmade velvet	直徑: 60cm 優質水晶絨	Tag05	Tag15				100	12.8	100	12.8	ACT01	30833074
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833075_1.jpg	30833075_1.jpg	07/18/20 12:00 AM	Little Mouse Waterproof PU material Bump Bag (White) 	小老鼠防水PU腰包袋白色	13 x 30 x 8 cm , PU  Perfect to wipe with disinfecting agents	13 x 30 x 8 cm, 超靚, 防疫一流, 消毒濕紙巾,抹一萬次都唔怕	Tag09	Tag11				50	6.4	50	6.4	ACT01	30833075
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833076_1.jpg	30833076_1.jpg	02/08/20 12:00 AM	Little Mouse Waterproof PU material Cylinder Bag (Brown) 	小老鼠防水PU圓筒包包袋啡色	21 x 9 x 9 cm	21 x 9 x 9 cm	Tag12					80	10.3	80	10.3	ACT01	30833076
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833077_1.jpg	30833077_1.jpg	02/08/20 12:00 AM	Black mobile pouch with gold square twist lock 	方形金扣PU手機袋(黑色)	18 x 4.5 x 13 cm 	18 x 4.5 x 13 cm 	Tag12					50	6.4	50	6.4	ACT01	30833077
PHONY	Phoney 	Phoney 	ACC01	ProductBasic	飾物	FPAPP	Apple	蘋果手機配件 	30833078_1.jpg	30833078_1.jpg	02/08/20 12:00 AM	Black Phone Cover 	黑色手機套	Suitable Apple 11 Pro	適合 Apple 11 Pro	Tag12	Tag10				30	3.8	30	3.8	ACT01	30833078
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBWAL	Wallet 	銀包	30833079_1.jpg	30833079_1.jpg	02/08/20 12:00 AM	Coin Wallet With Zips ( can fit cards and coins) 	拉鏈錢Coin包	10.5 x 2 x 7.5 cm	10.5 x 2 x 7.5 cm	Tag12					25	3.2	25	3.2	ACT01	30833079
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBWAL	Wallet 	銀包	30833080_1.jpg	30833080_1.jpg	02/08/20 12:00 AM	Small D Simple Wallet 	小號D簡約錢包	9 x 1.5 x 11.5 cm	9 x 1.5 x 11.5 cm	Tag12					30	3.8	30	3.8	ACT01	30833080
LAYLA  	LAYLA	萊拉	ACC01	ProductBasic	飾物	AJEAR	Earrings	耳環	30833081_1.jpg	30833081_1.jpg	02/08/20 12:00 AM	VC Lucky Flower Earrings ( Silver with white pearly shells) 	VC 銀色配白色珍珠貝幸運花花耳環			Tag02	Tag05				40	5.1	40	5.1	ACT01	30833081
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBWAL	Wallet 	銀包	30833082_1.jpg	30833082_1.jpg	02/08/20 12:00 AM	Busy Bee Red Wallet 	忙碌小的蜜蜂高貴紅色銀包	9 x 12 x 1.5 cm	9 x 12 x 1.5 cm	Tag12					30	3.8	30	3.8	ACT01	30833082
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBWAL	Wallet 	銀包	30833083_1.jpg	30833083_1.jpg	02/08/20 12:00 AM	Busy Bee Green Wallet 	忙碌小的蜜蜂高貴綠色銀包	9 x 12 x 1.5 cm	9 x 12 x 1.5 cm	Tag12					30	3.8	30	3.8	ACT01	30833083
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833084_1.jpg	30833084_1.jpg	02/08/20 12:00 AM	Brown mobile pouch with gold square twist lock 	方形金扣PU手機袋(啡色)	18 x 4.5 x 13 cm , Brown	18 x 4.5 x 13 cm ,啡色	Tag12					50	6.4	50	6.4	ACT01	30833084
LBS	Little Bag	小包包	ACC01	ProductBasic	飾物	FBHAN	Handbags	包包	30833085_1.jpg	30833085_1.jpg	02/09/20 12:00 AM	Red mobile pouch with gold square twist lock 	方形金扣PU手機袋(红色)	18 x 4.5 x 13 cm , Brown	18 x 4.5 x 13 cm ,红色	Tag12					50	6.4	50	6.4	ACT01	30833085
